phase,domain,delta,capacity,baseline,n_scopes,mean_selection_coverage,mean_complete_token_coverage,mean_candidate_amplification,mean_useful_amplification,mean_candidate_replacement_fraction
prefill,__domain_balanced__,1,8,domain_oracle,60,0.2925218700528945,0.00011293965795417877,1.0,3.981685900224678,0.0
prefill,__domain_balanced__,1,8,previous_window,60,0.2840246859725352,4.84027105517909e-05,1.0,4.048995679324281,0.002038223518362998
prefill,__domain_balanced__,1,8,static,60,0.22604165918888505,8.067118425298483e-05,1.0,5.5173650675687105,0.0
prefill,__domain_balanced__,1,8,transition,60,0.5684341270759041,0.011133092457902458,1.0,1.8489522606634956,0.5154510450496955
prefill,__domain_balanced__,1,16,domain_oracle,60,0.47016012009549163,0.03669810757751449,2.0,4.567920101562411,0.0
prefill,__domain_balanced__,1,16,previous_window,60,0.45581961157872736,0.025173466117547068,2.0,4.661101957407799,0.0015697852714296613
prefill,__domain_balanced__,1,16,static,60,0.38452647062607836,0.008698404674562173,2.0,5.691787947922705,0.0
prefill,__domain_balanced__,1,16,transition,60,0.7776916815733599,0.23248152090706134,2.0,2.6256398438265838,0.41938289510937843
prefill,__domain_balanced__,1,32,domain_oracle,60,0.7271464561452822,0.19173160603210182,4.0,5.60354972483181,0.0
prefill,__domain_balanced__,1,32,previous_window,60,0.7121464690714769,0.15996959746925424,4.0,5.7028604412931205,0.0010071385202063841
prefill,__domain_balanced__,1,32,static,60,0.6601072723747617,0.10217380418817089,4.0,6.158660730463568,0.0
prefill,__domain_balanced__,1,32,transition,60,0.9280701957830626,0.6301995598590645,4.0,4.328202657064498,0.2686186515734449
prefill,__domain_balanced__,2,8,domain_oracle,56,0.29473616717898254,0.00012100677637947724,1.0,3.9773836484957745,0.0
prefill,__domain_balanced__,2,8,previous_window,56,0.2864998210515327,5.1860047019775966e-05,1.0,4.035219700014642,0.002031726571148226
prefill,__domain_balanced__,2,8,static,56,0.22688979186209954,8.64334116996266e-05,1.0,5.543718339735608,0.0
prefill,__domain_balanced__,2,8,transition,56,0.5523060262733788,0.009204078136056271,1.0,1.9378078471880524,0.5028497562369327
prefill,__domain_balanced__,2,16,domain_oracle,56,0.4738900832916943,0.03867979372933115,2.0,4.545083533592875,0.0
prefill,__domain_balanced__,2,16,previous_window,56,0.4597015358156357,0.026925092713644388,2.0,4.632246350904678,0.0015572109043337672
prefill,__domain_balanced__,2,16,static,56,0.38580439580842246,0.009307814532268994,2.0,5.698959894926092,0.0
prefill,__domain_balanced__,2,16,transition,56,0.7615001811331353,0.22189108664078186,2.0,2.710211761687406,0.40753140004457233
prefill,__domain_balanced__,2,32,domain_oracle,56,0.7303495667970424,0.20018361894819667,4.0,5.583822221944348,0.0
prefill,__domain_balanced__,2,32,previous_window,56,0.7154524659838299,0.1675358408115351,4.0,5.68009882096902,0.0009965679113405998
